country,confirmed,death,recovered,active,population
Afghanistan,41935,1554,34440,5941,38041754
Albania,22721,543,11696,10482,2854191
Algeria,60169,2011,41244,16914,43053054
Andorra,5135,75,3858,1202,77142
Angola,12102,299,5350,6453,31825295
Antigua and Barbuda,130,3,118,9,97118
Argentina,1217028,32766,1030137,154125,44938712
Armenia,99563,1476,60135,37952,2957731
Australia,27644,907,25427,1310,25364307
Austria,132515,1268,80604,50643,8877067
Azerbaijan,60873,794,46465,13614,10023318
Bahamas,6882,150,4779,1953,389482
Bahrain,82786,328,80174,2284,1641172
Bangladesh,416006,6021,333588,76397,163046161
Barbados,239,7,224,8,287025
Belarus,103295,998,89131,13166,9466856
Belgium,479341,12520,27987,438834,11484055
Belize,3977,66,2323,1588,390353
Benin,2745,43,2466,236,11801151
Bhutan,358,0,333,25,763092
Bolivia,142201,8768,113386,20047,11513100
Bosnia and Herzegovina,57506,1402,29689,26415,3301000
Botswana,7835,27,5534,2274,2303697
Brazil,5590025,161106,5078162,350757,211049527
Brunei,148,3,144,1,433285
Bulgaria,68345,1518,22709,44118,6975761
Burkina Faso,2550,67,2347,136,20321378
Myanmar,57935,1352,42178,14405,54045420
Burundi,606,1,511,94,11530580
Cabo Verde,9149,97,8289,763,549935
Cambodia,292,0,286,6,16486542
Cameroon,22103,429,21151,523,25876380
Canada,253482,10432,210429,NA,37589262
Central African Republic,4866,62,1924,2880,4745185
Chad,1529,99,1354,76,15946876
Chile,516582,14404,493250,NA,18952038
China,91552,4741,86264,547,1397715000
Colombia,1117977,32209,1011166,74602,50339443
Comoros,557,7,525,25,850886
"Congo, Rep.",5348,92,3887,1369,5380508
"Congo, Dem. Rep.",11450,315,10786,349,86790567
Costa Rica,114367,1444,70002,42921,5047561
Cote d'Ivoire,20789,126,20466,197,25716544
Croatia,59415,683,43376,15356,4067500
Cuba,7184,129,6502,553,11333483
Cyprus,5333,27,1882,3424,1198575
Czech Republic,391945,4330,214272,173343,10669709
Denmark,52265,733,38263,13269,5818553
Djibouti,5599,61,5479,59,973560
Dominica,57,0,35,22,71808
Dominican Republic,128824,2260,106650,19914,10738958
Ecuador,171783,12730,149048,10005,17373662
